values; percentile
454.56; 0.00
454.91; 0.00
454.96; 0.00
455.01; 0.00
455.06; 0.00
455.14; 0.00
455.16; 0.00
455.23; 0.00
455.25; 0.00
455.32; 0.00
455.36; 0.00
455.45; 0.00
455.46; 0.00
455.50; 0.01
455.53; 0.01
455.57; 0.01
455.60; 0.01
455.61; 0.01
455.63; 0.01
455.66; 0.01
455.67; 0.01
455.67; 0.01
455.68; 0.01
455.69; 0.01
455.70; 0.01
455.70; 0.01
455.71; 0.01
455.73; 0.01
455.78; 0.01
455.78; 0.01
455.85; 0.01
455.85; 0.01
455.88; 0.01
455.95; 0.01
455.96; 0.01
455.98; 0.01
455.98; 0.01
455.98; 0.01
455.98; 0.01
456.07; 0.01
456.11; 0.01
456.11; 0.01
456.12; 0.01
456.14; 0.01
456.19; 0.01
456.20; 0.02
456.22; 0.02
456.24; 0.02
456.24; 0.02
456.25; 0.02
456.34; 0.02
456.35; 0.02
456.35; 0.02
456.35; 0.02
456.37; 0.02
456.38; 0.02
456.45; 0.02
456.50; 0.02
456.51; 0.02
456.52; 0.02
456.54; 0.02
456.55; 0.02
456.56; 0.02
456.56; 0.02
456.57; 0.02
456.57; 0.02
456.59; 0.02
456.61; 0.02
456.61; 0.02
456.72; 0.02
456.76; 0.02
456.79; 0.02
456.89; 0.02
456.91; 0.02
457.01; 0.02
457.02; 0.03
457.04; 0.03
457.12; 0.03
457.12; 0.03
457.13; 0.03
457.23; 0.03
457.28; 0.03
457.28; 0.03
457.30; 0.03
457.47; 0.03
457.67; 0.03
457.69; 0.03
457.71; 0.03
457.71; 0.03
457.72; 0.03
457.81; 0.03
457.83; 0.03
457.86; 0.03
458.32; 0.03
458.75; 0.03
458.96; 0.03
459.04; 0.03
459.06; 0.03
459.09; 0.03
459.19; 0.03
459.36; 0.03
459.46; 0.03
459.55; 0.03
459.57; 0.03
459.65; 0.03
459.66; 0.03
459.68; 0.03
459.69; 0.03
459.69; 0.04
459.70; 0.04
459.73; 0.04
459.79; 0.04
459.80; 0.04
459.83; 0.04
459.86; 0.04
459.86; 0.04
459.87; 0.04
459.94; 0.04
459.95; 0.04
459.99; 0.04
459.99; 0.04
460.08; 0.04
460.12; 0.04
460.14; 0.04
460.15; 0.04
460.16; 0.04
460.16; 0.04
460.17; 0.04
460.17; 0.04
460.17; 0.04
460.18; 0.04
460.18; 0.04
460.20; 0.04
460.21; 0.04
460.21; 0.04
460.23; 0.04
460.24; 0.04
460.24; 0.04
460.25; 0.04
460.27; 0.05
460.27; 0.05
460.28; 0.05
460.28; 0.05
460.28; 0.05
460.30; 0.05
460.30; 0.05
460.33; 0.05
460.34; 0.05
460.34; 0.05
460.35; 0.05
460.36; 0.05
460.36; 0.05
460.37; 0.05
460.40; 0.05
460.41; 0.05
460.42; 0.05
460.43; 0.05
460.45; 0.05
460.45; 0.05
460.45; 0.05
460.46; 0.05
460.46; 0.05
460.47; 0.05
460.48; 0.05
460.50; 0.05
460.51; 0.05
460.52; 0.05
460.52; 0.05
460.54; 0.06
460.54; 0.06
460.56; 0.06
460.57; 0.06
460.58; 0.06
460.59; 0.06
460.59; 0.06
460.59; 0.06
460.60; 0.06
460.61; 0.06
460.61; 0.06
460.61; 0.06
460.61; 0.06
460.63; 0.06
460.63; 0.06
460.63; 0.06
460.65; 0.06
460.65; 0.06
460.68; 0.06
460.68; 0.06
460.69; 0.06
460.70; 0.06
460.70; 0.06
460.70; 0.06
460.71; 0.06
460.74; 0.06
460.75; 0.06
460.76; 0.06
460.77; 0.07
460.78; 0.07
460.79; 0.07
460.80; 0.07
460.80; 0.07
460.81; 0.07
460.81; 0.07
460.82; 0.07
460.82; 0.07
460.82; 0.07
460.83; 0.07
460.83; 0.07
460.84; 0.07
460.84; 0.07
460.84; 0.07
460.86; 0.07
460.86; 0.07
460.87; 0.07
460.87; 0.07
460.88; 0.07
460.89; 0.07
460.89; 0.07
460.90; 0.07
460.90; 0.07
460.91; 0.07
460.92; 0.07
460.93; 0.07
460.93; 0.07
460.95; 0.07
460.95; 0.07
460.96; 0.07
460.96; 0.07
460.96; 0.07
460.98; 0.07
460.99; 0.07
461.00; 0.08
461.00; 0.08
461.00; 0.08
461.00; 0.08
461.01; 0.08
461.02; 0.08
461.02; 0.08
461.02; 0.08
461.04; 0.08
461.04; 0.08
461.06; 0.08
461.06; 0.08
461.10; 0.08
461.12; 0.08
461.14; 0.08
461.16; 0.08
461.16; 0.08
461.16; 0.08
461.18; 0.08
461.19; 0.08
461.21; 0.08
461.21; 0.08
461.22; 0.08
461.22; 0.08
461.23; 0.08
461.24; 0.08
461.24; 0.09
461.29; 0.09
461.30; 0.09
461.32; 0.09
461.32; 0.09
461.33; 0.09
461.35; 0.09
461.36; 0.09
461.36; 0.09
461.36; 0.09
461.39; 0.09
461.39; 0.09
461.40; 0.09
461.40; 0.09
461.42; 0.09
461.42; 0.09
461.44; 0.09
461.44; 0.09
461.45; 0.09
461.45; 0.09
461.46; 0.09
461.49; 0.09
461.52; 0.09
461.53; 0.09
461.53; 0.09
461.54; 0.09
461.55; 0.09
461.55; 0.09
461.55; 0.10
461.55; 0.10
461.56; 0.10
461.58; 0.10
461.58; 0.10
461.59; 0.10
461.59; 0.10
461.59; 0.10
461.60; 0.10
461.63; 0.10
461.63; 0.10
461.63; 0.10
461.64; 0.10
461.64; 0.10
461.65; 0.10
461.66; 0.10
461.67; 0.10
461.68; 0.10
461.69; 0.10
461.69; 0.10
461.69; 0.10
461.70; 0.10
461.71; 0.10
461.71; 0.10
461.75; 0.10
461.76; 0.10
461.77; 0.10
461.78; 0.10
461.79; 0.11
461.80; 0.11
461.80; 0.11
461.81; 0.11
461.83; 0.11
461.85; 0.11
461.85; 0.11
461.85; 0.11
461.87; 0.11
461.88; 0.11
461.88; 0.11
461.90; 0.11
461.90; 0.11
461.91; 0.11
461.91; 0.11
461.92; 0.11
461.94; 0.11
