address,#hits
108.175.43.179,2382
45.57.26.152,2374
108.175.42.153,2355
45.57.39.139,2355
109.159.156.103,2347
37.77.190.140,2346
45.57.15.142,2344
81.130.100.39,2344
45.57.44.139,2342
173.246.157.244,2316
23.246.17.176,2313
45.57.26.151,2311
45.57.24.136,2308
45.57.14.142,2306
45.57.39.137,2305
37.77.190.146,2285
45.57.25.139,2262
198.38.114.138,2258
198.38.114.162,2253
23.246.50.144,2242
23.246.17.174,2241
198.38.114.135,2241
109.159.156.99,2238
45.57.27.150,2228
45.57.25.137,2217
23.246.45.139,2216
45.57.27.152,2203
23.246.5.171,2192
198.38.116.140,2190
23.246.50.142,2175
45.57.24.140,2171
109.159.156.97,2167
45.57.24.138,2167
45.57.27.148,2159
45.57.25.136,2158
45.57.24.142,2156
23.246.17.168,2156
173.246.157.248,2152
23.246.27.136,2135
23.246.45.137,2124
45.57.24.139,2116
108.175.42.183,2110
45.57.38.138,2078
45.57.45.136,2078
108.175.43.178,2078
23.246.17.178,2077
45.57.45.135,2076
45.57.44.133,2075
23.246.17.158,2072
23.246.17.179,2058
45.57.25.142,2055
45.57.25.141,2014
45.57.45.139,2013
198.38.116.159,2010
198.38.116.163,2004
23.246.5.167,1996
185.2.222.147,1994
45.57.27.143,1987
23.246.50.138,1975
108.175.43.148,1950
108.175.43.200,1942
198.38.116.165,1935
23.246.27.134,1934
198.38.116.155,1918
23.246.51.146,1896
23.246.50.146,1888
45.57.39.135,1875
45.57.45.132,1864
198.38.116.166,1862
45.57.44.132,1851
198.38.117.156,1840
45.57.38.141,1827
23.246.16.147,1821
23.246.6.196,1816
45.57.45.137,1814
45.57.45.140,1813
198.38.117.157,1807
45.57.39.136,1801
108.175.43.142,1790
23.246.51.144,1781
45.57.45.133,1778
45.57.38.140,1778
173.246.157.246,1776
23.246.11.148,1758
45.57.45.134,1757
173.246.157.247,1740
23.246.46.137,1736
45.57.27.144,1734
45.57.27.140,1714
23.246.16.152,1713
198.45.50.145,1708
23.246.51.143,1705
23.246.17.141,1704
198.38.117.158,1702
45.57.39.138,1681
45.57.44.134,1681
198.38.117.159,1677
198.38.115.142,1675
198.38.116.164,1673
23.246.10.154,1670
45.57.27.142,1660
23.246.15.150,1658
23.246.51.145,1651
45.57.39.141,1644
45.57.26.137,1640
45.57.26.136,1638
45.57.38.137,1629
45.57.44.140,1623
45.57.45.130,1622
45.57.39.140,1620
45.57.26.139,1607
45.57.44.137,1596
23.246.15.173,1596
45.57.38.139,1595
198.38.115.156,1590
23.246.14.174,1580
45.57.39.142,1579
23.246.17.164,1576
